id,d,t,c,st,sd,rid,av,sv,ch,md,dr,os,cap,wid,ctx,ov,ep,tp,eb,ea,es,sh,srq,sfl,b5,cs,fee,te,ts,v30,v60,du,dd,eds,ods,drt,ma,sg,sgv,sge,sgd,sgs,sgt,sgb,td,hsd,fp,ff,why,er,xp,xb,xa,xs,tx,hd,pnl,pp,maxb,minb,ttmax,ttmin,tfp,sc,hc,mfe,mae,pnp,tnp,sx,status
2033,2026-04-16,16:55:07,doge,lead_lag,up,20260416T164934Z-389e59f3deb1,4.0.5,unknown,389e59f3deb1,both,1,10.0,50000.0,doge-updown-5m-1776358500,lead_lag,0,0.57,0.6299999999999999,0.56,0.57,0.009999999999999898,17.0,17.0,17.0,0,9.69,0.0344304,0.1759470089008523,2026-04-16T16:55:00+00:00,0.057,,,0.08,8.7,7.050000000000001,1.2340425531914891,aligned,71.59,35.0,11.25,10.88,7.5,0.0,6.97,0.05999999999999994,8.7,7.050000000000001,292.033509,loss_cut,0.51,0.51,0.52,0.010000000000000009,-1.625879999999999,,0,0.0,2026-04-16T16:55:12.791740,287.387208,0.55,0.51,3.63656,1,,Lead-lag UP @0.570 vel=0.083%,0.0,0.05999999999999994,-0.9429423999999985,1,0,
2032,2026-04-16,16:52:17,btc,lead_lag,down,20260416T164934Z-389e59f3deb1,4.0.5,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776358200,lead_lag,0,0.54,0.6000000000000001,0.53,0.54,0.010000000000000009,18.0,18.0,18.0,0,9.72,0.035164799999999996,-0.07100219326849233,2026-04-16T16:50:00+00:00,0.054,,,-0.09,1769.9875000000002,1093.3708,1.618835531367767,counter,83.47,35.0,15.0,15.0,7.5,7.92,3.05,0.06000000000000005,1093.3708,1769.9875000000002,162.842186,loss_cut,0.48,0.48,0.5,0.020000000000000018,-1.725408000000001,,0,0.0,2026-04-16T16:52:19.552615,160.628626,0.52,0.48,1.20008,1,,Lead-lag DOWN @0.540 vel=-0.087%,0.0,0.06000000000000005,-1.0054080000000003,1,0,
2031,2026-04-16,16:52:05,btc,lead_lag,down,20260416T164934Z-389e59f3deb1,4.0.5,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776358200,lead_lag,0,0.51,0.5700000000000001,0.49,0.51,0.020000000000000018,19.0,19.0,19.0,0,9.69,0.03563999999999999,-0.08423973504681315,2026-04-16T16:50:00+00:00,0.051,,,-0.08,548.39,759.6422,0.7219056550570782,counter,85.95,35.0,18.75,15.0,5.0,6.9,5.3,0.06000000000000005,759.6422,548.39,174.10999,loss_cut,0.45,0.45,0.46,0.010000000000000009,-1.8204432000000002,,0,0.0,2026-04-16T16:52:21.371461,158.804817,0.53,0.45,1.262301,1,,Lead-lag DOWN @0.510 vel=-0.083%,0.020000000000000018,0.06,-0.30263199999999957,1,0,
2030,2026-04-16,16:51:07,doge,lead_lag,down,20260416T164934Z-389e59f3deb1,4.0.5,unknown,389e59f3deb1,both,1,10.0,50000.0,doge-updown-5m-1776358200,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,-0.07206094296891148,2026-04-16T16:50:00+00:00,0.062,,,-0.08,11.09,6.0,1.8483333333333334,counter,64.1,35.0,5.0,13.86,7.5,1.6,1.14,0.05999999999999994,6.0,11.09,232.37078,profit_target,0.68,0.68,0.69,0.009999999999999898,0.43791360000000096,,0,0.0,2026-04-16T16:51:08.903888,231.344945,0.68,0.68,1.267347,1,1,Lead-lag DOWN @0.620 vel=-0.082%,0.06000000000000005,0.0,0.43791360000000096,1,1,
2029,2026-04-16,16:50:42,btc,lead_lag,up,20260416T164934Z-389e59f3deb1,4.0.5,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776358200,lead_lag,0,0.65,0.68,0.64,0.65,0.010000000000000009,15.0,15.0,15.0,0,9.75,0.0320472,0.056424054890356956,2026-04-16T16:50:00+00:00,0.065,,,0.09,317.5466,788.7305000000001,0.40260469197019766,aligned,58.75,35.0,1.25,15.0,7.5,0.0,0.0,0.030000000000000027,317.5466,788.7305000000001,257.9285,profit_target,0.72,0.72,0.73,0.010000000000000009,0.5865719999999993,,0,0.0,2026-04-16T16:50:45.660916,254.512555,0.72,0.67,3.564764,1,1,Lead-lag UP @0.650 vel=0.086%,0.06999999999999995,0.0,0.5865719999999993,1,1,
2028,2026-04-16,16:50:40,btc,lead_lag,up,20260416T164934Z-389e59f3deb1,4.0.5,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776358200,lead_lag,0,0.64,0.68,0.63,0.64,0.010000000000000009,15.0,15.0,15.0,0,9.6,0.03225599999999999,0.0417059060944437,2026-04-16T16:50:00+00:00,0.064,,,0.08,1397.3434,461.43379999999996,3.0282640760169715,aligned,60.0,35.0,2.5,15.0,7.5,0.0,0.0,0.040000000000000036,1397.3434,461.43379999999996,259.971708,profit_target,0.71,0.71,0.73,0.020000000000000018,0.5787959999999993,,0,0.0,2026-04-16T16:50:44.853536,255.323009,0.71,0.63,4.805344,1,1,Lead-lag UP @0.640 vel=0.082%,0.06999999999999995,0.010000000000000009,0.5787959999999993,1,1,
2027,2026-04-16,16:50:06,sol,lead_lag,down,20260416T164934Z-389e59f3deb1,4.0.5,unknown,389e59f3deb1,both,1,10.0,50000.0,sol-updown-5m-1776358200,lead_lag,0,0.55,0.6100000000000001,0.54,0.55,0.010000000000000009,18.0,18.0,18.0,0,9.9,0.034948799999999995,0.0,2026-04-16T16:50:00+00:00,0.055,,,-0.17,8.8025,7.050000000000001,1.2485815602836878,counter,74.05,35.0,13.75,11.0,7.5,0.0,6.8,0.06000000000000005,7.050000000000001,8.8025,293.733822,loss_cut,0.47,0.47,0.48,0.010000000000000009,-2.0835936000000013,,0,0.0,2026-04-16T16:50:15.825849,284.351313,0.55,0.47,4.807154,1,,Lead-lag DOWN @0.550 vel=-0.174%,0.0,0.08000000000000007,-0.64152,1,0,
2026,2026-04-16,16:48:43,doge,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,doge-updown-5m-1776357900,lead_lag,0,0.61,0.6699999999999999,0.6,0.61,0.010000000000000009,16.0,16.0,16.0,0,9.76,0.033048,0.02059732234808676,2026-04-16T16:45:00+00:00,0.061,,,0.11,41.842,6.15,6.803577235772357,aligned,68.0,35.0,6.25,15.0,7.5,4.25,0.0,0.05999999999999994,41.842,6.15,76.793243,profit_target,0.69,0.69,0.7,0.010000000000000009,0.7595263999999994,,0,0.0,2026-04-16T16:48:44.481830,75.752903,0.69,0.69,1.266099,1,1,Lead-lag UP @0.610 vel=0.113%,0.07999999999999996,0.0,0.7595263999999994,1,1,
2025,2026-04-16,16:48:12,bnb,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,bnb-updown-5m-1776357900,lead_lag,0,0.61,0.6699999999999999,0.58,0.61,0.030000000000000027,16.0,16.0,16.0,0,9.76,0.033048,0.0,2026-04-16T16:45:00+00:00,0.061,,,0.09,20.525,6.15,3.3373983739837394,aligned,65.8,35.0,6.25,15.0,2.5,7.05,0.0,0.05999999999999994,20.525,6.15,107.499179,profit_target,0.69,0.69,0.71,0.020000000000000018,0.7595263999999994,,0,0.0,2026-04-16T16:48:13.715851,106.461222,0.69,0.69,1.201177,1,1,Lead-lag UP @0.610 vel=0.093%,0.07999999999999996,0.0,0.7595263999999994,1,1,
2024,2026-04-16,16:47:55,btc,lead_lag,down,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.58,0.6399999999999999,0.57,0.58,0.010000000000000009,17.0,17.0,17.0,0,9.86,0.034128,0.0,2026-04-16T16:45:00+00:00,0.058,,,-0.08,424.102,465.479,0.9111087718242928,counter,84.78,35.0,10.0,15.0,7.5,8.63,8.66,0.05999999999999994,465.479,424.102,124.878792,loss_cut,0.49,0.49,0.55,0.06000000000000005,-2.1340439999999994,,0,0.0,2026-04-16T16:48:15.296790,104.879916,0.59,0.49,14.268624,1,,Lead-lag DOWN @0.580 vel=-0.085%,0.010000000000000009,0.08999999999999997,-0.4242519999999998,1,0,
2023,2026-04-16,16:47:44,doge,lead_lag,down,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,doge-updown-5m-1776357900,lead_lag,0,0.52,0.5800000000000001,0.49,0.52,0.030000000000000027,19.0,19.0,19.0,0,9.88,0.0355104,-0.11319201481786272,2026-04-16T16:45:00+00:00,0.052,,,-0.22,7.950000000000001,7.8,1.0192307692307694,counter,84.22,35.0,17.5,9.94,2.5,9.56,9.73,0.06000000000000005,7.8,7.950000000000001,135.106857,profit_target,0.6,0.6,0.61,0.010000000000000009,0.8502271999999993,,0,0.0,2026-04-16T16:47:47.333404,132.838495,0.6,0.58,2.430001,1,1,Lead-lag DOWN @0.520 vel=-0.216%,0.07999999999999996,0.0,0.8502271999999993,1,0,
2022,2026-04-16,16:47:44,eth,lead_lag,down,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,eth-updown-5m-1776357900,lead_lag,0,0.52,0.5800000000000001,0.51,0.52,0.010000000000000009,19.0,19.0,19.0,0,9.88,0.0355104,-0.10070796841041274,2026-04-16T16:45:00+00:00,0.052,,,-0.1,126.9,20.68,6.136363636363637,counter,84.56,35.0,17.5,15.0,7.5,9.56,0.0,0.06000000000000005,20.68,126.9,135.121351,profit_target,0.63,0.63,0.64,0.010000000000000009,1.4296664,,0,0.0,2026-04-16T16:47:47.280545,132.894541,0.63,0.53,2.377261,1,1,Lead-lag DOWN @0.520 vel=-0.100%,0.10999999999999999,0.0,1.4296664,1,0,
2021,2026-04-16,16:47:42,sol,lead_lag,down,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,sol-updown-5m-1776357900,lead_lag,0,0.6,0.6599999999999999,0.59,0.6,0.010000000000000009,16.0,16.0,16.0,0,9.6,0.0334368,-0.08109360518998283,2026-04-16T16:45:00+00:00,0.06,,,-0.13,9.15,6.3,1.4523809523809526,counter,75.8,35.0,7.5,11.44,7.5,9.74,4.62,0.05999999999999994,6.3,9.15,137.166974,profit_target,0.7,0.7,0.74,0.040000000000000036,1.0815999999999997,,0,0.0,2026-04-16T16:47:45.313756,134.864361,0.7,0.64,2.463552,1,1,Lead-lag DOWN @0.600 vel=-0.127%,0.09999999999999998,0.0,1.0815999999999997,1,1,
2020,2026-04-16,16:46:45,sol,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,sol-updown-5m-1776357900,lead_lag,0,0.65,0.68,0.64,0.65,0.010000000000000009,15.0,15.0,15.0,0,9.75,0.0320472,0.05793742757821223,2026-04-16T16:45:00+00:00,0.065,,,0.16,19.75,5.55,3.5585585585585586,aligned,63.8,35.0,1.25,15.0,7.5,5.05,0.0,0.030000000000000027,19.75,5.55,194.478858,loss_cut,0.52,0.52,0.57,0.04999999999999993,-2.465268,,0,0.0,2026-04-16T16:46:50.316772,189.858277,0.64,0.52,2.408416,1,,Lead-lag UP @0.650 vel=0.162%,0.0,0.13,-0.644532,1,1,
2019,2026-04-16,16:46:45,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.66,0.68,0.65,0.66,0.010000000000000009,15.0,15.0,15.0,0,9.9,0.03182399999999999,0.0,2026-04-16T16:45:00+00:00,0.066,,,0.13,2234.4434,963.0182,2.3202504376345123,aligned,62.55,35.0,0.0,15.0,7.5,5.05,0.0,0.020000000000000018,2234.4434,963.0182,194.487376,profit_target,0.71,0.71,0.72,0.010000000000000009,0.28527599999999903,,0,0.0,2026-04-16T16:46:47.967006,192.214693,0.71,0.69,2.413206,1,1,Lead-lag UP @0.660 vel=0.131%,0.04999999999999993,0.0,0.28527599999999903,1,1,
2018,2026-04-16,16:46:44,doge,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,doge-updown-5m-1776357900,lead_lag,0,0.65,0.68,0.64,0.65,0.010000000000000009,15.0,15.0,15.0,0,9.75,0.0320472,0.0411861614497512,2026-04-16T16:45:00+00:00,0.065,,,0.3,15.4892,5.55,2.790846846846847,aligned,63.71,35.0,1.25,15.0,7.5,4.96,0.0,0.030000000000000027,15.4892,5.55,195.494473,loss_cut,0.56,0.56,0.62,0.05999999999999994,-1.8618119999999996,,0,0.0,2026-04-16T16:46:50.497565,189.678424,0.67,0.56,3.607363,1,,Lead-lag UP @0.650 vel=0.299%,0.020000000000000018,0.08999999999999997,-0.18448799999999968,1,1,
2017,2026-04-16,16:46:44,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.66,0.68,0.64,0.66,0.020000000000000018,15.0,15.0,15.0,0,9.9,0.03182399999999999,0.0,2026-04-16T16:45:00+00:00,0.066,,,0.14,2984.2934000000005,944.0175999999999,3.1612688153271726,aligned,59.95,35.0,0.0,15.0,5.0,4.95,0.0,0.020000000000000018,2984.2934000000005,944.0175999999999,195.51118,profit_target,0.71,0.71,0.72,0.010000000000000009,0.28527599999999903,,0,0.0,2026-04-16T16:46:48.113706,192.058578,0.71,0.66,3.599572,1,1,Lead-lag UP @0.660 vel=0.137%,0.04999999999999993,0.0,0.28527599999999903,1,1,
2016,2026-04-16,16:46:43,doge,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,doge-updown-5m-1776357900,lead_lag,0,0.65,0.68,0.64,0.65,0.010000000000000009,15.0,15.0,15.0,0,9.75,0.0320472,0.030889621087316976,2026-04-16T16:45:00+00:00,0.065,,,0.29,17.8,6.15,2.8943089430894307,aligned,63.61,35.0,1.25,15.0,7.5,4.86,0.0,0.030000000000000027,17.8,6.15,196.51985,loss_cut,0.53,0.53,0.6,0.06999999999999995,-2.3147279999999997,,0,0.0,2026-04-16T16:46:50.598061,189.582087,0.66,0.53,3.567595,1,,Lead-lag UP @0.650 vel=0.289%,0.010000000000000009,0.12,-0.33805199999999985,1,1,
2015,2026-04-16,16:46:43,sol,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,sol-updown-5m-1776357900,lead_lag,0,0.6,0.6599999999999999,0.57,0.6,0.030000000000000027,16.0,16.0,16.0,0,9.6,0.0334368,0.0,2026-04-16T16:45:00+00:00,0.06,,,0.17,15.25,100.15,0.15227159261108336,aligned,64.86,35.0,7.5,15.0,2.5,4.86,0.0,0.05999999999999994,15.25,100.15,196.529682,loss_cut,0.48,0.48,0.54,0.06000000000000005,-2.4840191999999996,,0,0.0,2026-04-16T16:46:50.604156,189.577208,0.64,0.48,1.202164,1,1,Lead-lag UP @0.600 vel=0.174%,0.040000000000000036,0.12,0.09809920000000061,1,1,
2014,2026-04-16,16:46:42,eth,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,eth-updown-5m-1776357900,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,-0.02195115652466786,2026-04-16T16:45:00+00:00,0.062,,,0.15,62.775000000000006,57.69949999999999,1.0879643671089005,aligned,76.05,35.0,5.0,15.0,7.5,4.77,8.78,0.05999999999999994,62.775000000000006,57.69949999999999,197.560784,profit_target,0.68,0.68,0.69,0.009999999999999898,0.43791360000000096,,0,0.0,2026-04-16T16:47:01.398570,178.781158,0.68,0.6,18.93702,1,1,Lead-lag UP @0.620 vel=0.148%,0.06000000000000005,0.020000000000000018,0.43791360000000096,1,1,
2013,2026-04-16,16:46:42,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,0.0,2026-04-16T16:45:00+00:00,0.062,,,0.1,803.758,838.1903,0.9589206651520544,aligned,76.66,35.0,5.0,15.0,7.5,4.77,9.39,0.05999999999999994,803.758,838.1903,197.565405,profit_target,0.69,0.69,0.7,0.010000000000000009,0.6021759999999993,,0,0.0,2026-04-16T16:46:47.212361,192.960226,0.69,0.64,4.751041,1,1,Lead-lag UP @0.620 vel=0.103%,0.06999999999999995,0.0,0.6021759999999993,1,1,
2012,2026-04-16,16:46:41,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,0.0,2026-04-16T16:45:00+00:00,0.062,,,0.1,1302.1342,1145.4763,1.136762235936265,aligned,75.32,35.0,5.0,15.0,7.5,4.67,8.15,0.05999999999999994,1302.1342,1145.4763,198.589583,profit_target,0.7,0.7,0.71,0.010000000000000009,0.7666687999999994,,0,0.0,2026-04-16T16:46:47.454305,192.722377,0.7,0.61,6.019401,1,1,Lead-lag UP @0.620 vel=0.104%,0.07999999999999996,0.010000000000000009,0.7666687999999994,1,1,
2011,2026-04-16,16:46:40,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,0.0,2026-04-16T16:45:00+00:00,0.062,,,0.12,1082.6856,724.6475999999999,1.4940856769552542,aligned,71.29,35.0,5.0,15.0,7.5,4.58,4.21,0.05999999999999994,1082.6856,724.6475999999999,199.619805,profit_target,0.68,0.68,0.69,0.009999999999999898,0.43791360000000096,,0,0.0,2026-04-16T16:46:46.405238,193.766172,0.68,0.61,5.996189,1,1,Lead-lag UP @0.620 vel=0.117%,0.06000000000000005,0.010000000000000009,0.43791360000000096,1,1,
2010,2026-04-16,16:46:38,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.61,0.6699999999999999,0.6,0.61,0.010000000000000009,16.0,16.0,16.0,0,9.76,0.033048,0.0,2026-04-16T16:45:00+00:00,0.061,,,0.1,998.2001,839.8430999999999,1.1885554575610613,aligned,75.65,35.0,6.25,15.0,7.5,4.39,7.51,0.05999999999999994,998.2001,839.8430999999999,201.68126,profit_target,0.69,0.69,0.7,0.010000000000000009,0.7595263999999994,,0,0.0,2026-04-16T16:46:46.659920,193.526285,0.69,0.61,8.305071,1,1,Lead-lag UP @0.610 vel=0.104%,0.07999999999999996,0.0,0.7595263999999994,1,1,
